"baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000221986",27.0747776833094,0.0102057614027115,0.320456763247115,0.974240935899083,0.98339652716045
"ENSG00000278195",264.043055116348,0.714868816297254,0.531746481185725,0.118734462558316,0.195315689051629
"ENSG00000129351",2095.44361921661,-0.219508655562983,0.0780672051082904,0.00478725705700538,0.013069816093537
"ENSG00000166928",31.3996255277768,-4.83315619228278,0.592861001246336,2.19874198501213e-17,3.64271912299525e-16
"ENSG00000021852",0.582046340808506,-0.144940261299644,0.926066269311449,0.757482555957043,0.825463082223649
"ENSG00000100739",0.64365967692463,-1.18422384668796,1.60252249567778,0.118333259138495,0.194735781928274
"ENSG00000131116",620.49820458105,-0.556703246281616,0.289974143431231,0.0432256619260915,0.0848814102411249
"ENSG00000247077",542.736791726796,0.922989409981786,0.195510925062737,1.4606040661384e-06,8.68655052934931e-06
"ENSG00000126903",139.431983736871,0.359284283472066,0.245907114147928,0.132114984335753,0.212755907557798
"ENSG00000138829",15.2109573182009,-0.839461742203997,0.56391706525431,0.0773975930348921,0.137446857404618
"ENSG00000064547",58.7161801471322,-1.28353798472184,0.265308291970577,5.07662221104961e-07,3.22950392959852e-06
"ENSG00000178026",162.881923307935,-1.86846408576571,0.185089257591589,1.66757145394843e-24,3.8510553461747e-23
"ENSG00000155875",3.95254540220088,-1.48575347031643,1.07775263430868,0.0321960115896237,0.066374464701834
"ENSG00000141560",888.563728254062,0.462109664992795,0.169414482670168,0.0056639684857369,0.0151108239079675
"ENSG00000103591",524.543111333293,0.978783125114966,0.16781191041699,3.30531268394103e-09,2.84246234249287e-08
"ENSG00000118007",328.111575609179,1.7589096244116,0.195180998714737,5.26632223746187e-20,9.86911253961824e-19
"ENSG00000151475",1.2091294009659,-2.56365187832776,1.43484807611513,0.00759081686244122,0.0194591435313967
"ENSG00000178473",0.490969071545598,0.192823649903656,0.9657510173427,0.674668503859518,0.758190768609489
"ENSG00000180440",175.714386033326,0.475842982087394,0.600195217240318,0.333232474887082,0.443577589624175
"ENSG00000167004",1609.58640434447,0.281066181563978,0.146317780756402,0.0530555810524581,0.100855388901715
"ENSG00000152284",150.360418828343,-1.27080987811076,0.260004550990799,4.24783944817748e-07,2.72693231161783e-06
"ENSG00000181444",142.011168219292,-1.90184319351407,0.340265543983335,5.08114801785579e-09,4.27767979367512e-08
"ENSG00000113396",46.9576569301796,-0.462091802379925,0.710583655877671,0.376053115270973,0.487688034308281
"ENSG00000122787",3.14905967593312,-7.28357585278734,2.7447260991097,1.54750043793558e-07,1.07073917028626e-06
"ENSG00000138160",36.3055212411834,0.990310971396635,0.265272407189924,0.000103017370117522,0.000428008824340816
"ENSG00000087510",14.8917244929655,-1.01290676403895,0.48414598654078,0.0179512537347792,0.0406066239959585
"ENSG00000185686",2.04433784244944,1.14685824210259,2.34682964762338,0.031177040779926,0.0645899495976616
"ENSG00000183476",12.6054436581278,-0.438045050703969,0.433382868364437,0.262521226900221,0.368478312165509
"ENSG00000129474",22.9268860665073,-3.38735732452092,0.554742122714265,1.23277420450741e-10,1.25824734495769e-09
"ENSG00000171960",152.300080335258,0.532833936141653,0.197452104251557,0.00587432279570943,0.0155908228893091
"ENSG00000187699",254.226165803847,-0.201858224946398,0.365719555379673,0.551923046580698,0.653616726171192
"ENSG00000133985",457.534999045555,0.997147101540248,0.460769603364565,0.0156343067465387,0.0360068276257886
"ENSG00000105383",33.6580774042328,-1.84717212305928,0.474480662499135,1.91677929492364e-05,9.33540348020631e-05
"ENSG00000105641",23.1985464387339,0.661840061764517,0.577389153970333,0.166984700119497,0.256840282624933
"ENSG00000136531",2331.61382004938,0.216084057989065,0.470246627870936,0.6071905965983,0.702434459155646
"ENSG00000137124",292.680656711102,2.28701751771561,0.211507200209984,5.51289849118158e-28,1.42764445716618e-26
"ENSG00000171501",1.09541309693572,-0.208396649042294,0.969482395136688,0.576348827824476,0.675544649223884
"ENSG00000112874",213.549614725124,0.0727863173268977,0.199597670433701,0.711673486013148,0.789082892486797
