"SRR8750453","SRR8750454","SRR8750455","SRR8750456","SRR8750457","SRR8750458","SRR8750459","SRR8750460","SRR8750461","SRR8750462","SRR8750637","SRR8750638","SRR8750639","SRR8750640","SRR8750641","SRR8750642","SRR8750643","SRR8750644","SRR8750645","SRR8750646"
"AluSz6",21264.6096351201,19831.3359120852,29075.2872262361,31204.2501947472,26760.4988820118,22232.0476769083,21147.9944144758,27105.5792864848,24676.1639882778,18864.1457162933,17304.9824189831,17266.6042638966,17257.6845297263,17876.3419855984,19129.3077594754,38859.0687281783,38567.292008976,22146.2659042547,18181.7800093755,17646.6786476384
"AluSz",48789.5033831953,44952.2963452367,68128.1047854301,73887.9115767347,61146.777263451,49904.7746091001,47833.2783911052,63803.4608327846,56398.1409302582,43421.3268061304,49900.0296044865,50004.7905364194,51364.8615873786,53731.7382558178,55341.3795603021,114121.500142327,113679.471138278,67532.5423403423,54252.9340377999,51044.1348666895
"AluY",72944.9972931248,68550.4174531764,107476.800469766,127623.865585902,106017.022397462,82006.7759275879,74075.2773917148,109823.34296499,88391.8264541828,63169.4012205963,43440.6384205066,43736.8915632853,45090.4876215601,48138.3199147605,54658.4924945028,123642.356841231,133317.114954326,68361.3312282975,44943.6571323873,44878.9661239703
"AluYa5",2743.15938154898,2895.29713466832,4120.01004380966,4886.06835911751,4099.37771916163,3288.00879625038,2958.69142505121,4019.99918054007,3375.88607977193,2456.09993563519,69.4799190504439,62.9096584790985,43.4843713258162,66.0293350859336,75.1705142197671,161.345363834048,163.146817501455,88.0129792518818,73.4073615882193,89.3502716336122
"AluYa8",106.729468336484,118.674569662562,180.126641037953,222.557564301117,189.962373272716,157.341620535089,127.326535665258,161.726715817862,130.271237918432,98.3203627557033,38.1018910921789,56.6186926311887,40.6789280144732,29.3463711493038,65.641857487684,96.2151252221389,81.5734087507274,54.091310165219,35.4802247676393,27.9219598855038
"AluYb8",1812.98732637803,1925.97049696647,2937.73552703135,3444.54321891378,2729.48645824375,2251.8172336169,1926.40332663918,2504.49265253898,1959.65162183012,1564.53470443299,11.2064385565232,23.0668747756695,15.4299382123864,36.6829639366298,42.3495854759252,106.576754092215,132.364399104954,55.9249138996332,24.4691205294064,27.9219598855038
"AluYb9",250.213455570301,257.279219726471,354.063363139893,423.519246351991,340.284901716167,302.289894247208,257.482549900854,301.19329378439,322.886568269256,264.414956148833,0,4.1939772319399,1.40272165567149,4.40195567239557,8.46991709518503,14.8023269572521,1.53912091982505,10.0848205392781,7.34073615882193,13.9609799427519
"AluYc3",330.083852404888,346.96458153253,524.905125773827,575.890193339818,508.625541445647,393.354051337722,389.996462945067,527.428980518366,452.227297345413,314.052420841033,192.750743172199,197.116929901175,199.186475105352,265.5846589012,267.861128135227,663.144247684896,643.352544486869,378.639171156533,249.585029399946,245.713246992434
"AluYc",2946.72287082651,2869.02566504836,4391.74748510059,5310.18749108757,4340.30560721483,3314.95085456118,2987.45779051632,4200.35172598864,3562.91835706911,2392.14397151255,1667.51805721065,1935.52049254026,1749.19390462235,1958.87027421603,2695.55111554264,6441.97269179613,7089.19095671416,3537.021603685,1975.88148274957,1879.14790029441
"AluYd8",335.738393773709,186.618025576243,904.966148444971,524.300030186459,258.43119615963,234.395907303985,287.663654651138,307.099044642907,637.398556958041,335.052886672348,0,4.1939772319399,12.6244949010434,2.93463711493038,10.5873963689813,105.09652139649,100.042859788628,9.16801867207102,4.89382410588129,13.9609799427519
"AluYg6",359.063376920093,373.236051152487,584.328347559544,685.66926144522,561.650268944535,429.456409474197,382.451186757496,555.594869228218,481.073071455923,298.779354781894,38.1018910921789,23.0668747756695,33.6653197361158,45.4868752814209,51.8782422080083,62.169773220459,86.1907715102025,67.8433381733255,26.9160325823471,30.7141558740542
"AluYh9",50.8908723193832,33.5187715840825,77.3739867001514,102.580440688655,70.0132324257166,54.4229577878217,43.8569178402554,69.0518561918963,54.9000216941962,35.3189652617575,94.134083874795,37.7457950874591,79.955134373275,42.5522381664905,52.9369818449064,71.0511693948103,69.260441392127,54.091310165219,61.1728013235161,36.298547851155
"AluYk11",188.013500513277,258.185132471987,238.311879036466,280.746469253161,237.839068975596,222.541401647231,223.528807056786,238.501476978589,255.889931625491,206.186391798368,11.2064385565232,20.9698861596995,14.0272165567149,32.2810082642342,24.351011648657,31.0848866102295,23.0868137973757,47.6736970947693,13.4580162911735,11.1687839542015
"AluYk12",120.159004087433,110.521354952921,136.178216592266,166.16831620326,128.700794900214,118.545056567532,116.480201145625,125.837922139179,178.657697716706,91.6383963548302,8.96515084521857,2.09698861596995,4.20816496701447,2.93463711493038,1.05873963689813,5.92093078290086,1.53912091982505,8.25121680486392,2.44691205294064,5.58439197710076
"AluYk4",1132.32190910628,1087.09529461889,1764.74588865705,2078.6036665859,1725.62025802207,1403.14239682661,1250.62952808986,1833.96278583346,1513.93788638063,1027.11369247706,394.466637189617,396.330848418321,392.762063588017,431.391655894766,476.432836604158,1560.16526129438,1414.45212531922,722.439871359196,461.242921979311,379.738654442852
"AmnSINE1",133.588539838381,149.475603010098,136.797208485868,147.571862043328,149.292922084249,139.021020883743,127.326535665258,123.11219097371,134.923782129804,165.140026764434,354.123458386133,339.712155787132,345.069527295187,362.427683693902,393.851144926104,294.566306449318,410.945285593287,290.626191904651,395.176296549914,295.97277478634
